model,domain,factor,ATE,ci_low,ci_high,n_pairs
google__gemini-3.1-flash-lite,consumer_product,O3,0.06222222222222222,-0.031166666666666662,0.16,450
google__gemini-3.1-flash-lite,consumer_product,O4,0.057777777777777775,-0.057777777777777775,0.17561111111111105,450
google__gemini-3.1-flash-lite,finance,S1,0.1288888888888889,0.042222222222222223,0.2311666666666666,450
google__gemini-3.1-flash-lite,finance,S2,-0.051111111111111114,-0.14222222222222222,0.03777777777777778,450
google__gemini-3.1-flash-lite,finance,S3,0.21555555555555556,0.11777777777777777,0.33338888888888885,450
google__gemini-3.1-flash-lite,finance,S4,0.051111111111111114,-0.057777777777777775,0.1600555555555555,450
google__gemini-3.1-flash-lite,finance,O1,0.006666666666666667,-0.10005555555555556,0.11777777777777777,450
google__gemini-3.1-flash-lite,finance,O2,-0.042222222222222223,-0.12444444444444444,0.04666666666666667,450
google__gemini-3.1-flash-lite,finance,O3,0.04888888888888889,-0.024444444444444446,0.13338888888888883,450
google__gemini-3.1-flash-lite,finance,O4,0.03111111111111111,-0.04888888888888889,0.11333333333333333,450
google__gemini-3.1-flash-lite,health,S1,0.14444444444444443,0.024444444444444446,0.2822222222222222,450
google__gemini-3.1-flash-lite,health,S2,0.057777777777777775,-0.07777777777777778,0.19561111111111107,450
google__gemini-3.1-flash-lite,health,S3,0.16444444444444445,0.044388888888888894,0.28444444444444444,450
google__gemini-3.1-flash-lite,health,S4,0.057777777777777775,-0.05555555555555555,0.1711111111111111,450
google__gemini-3.1-flash-lite,health,O1,0.08222222222222222,-0.020055555555555552,0.19555555555555557,450
google__gemini-3.1-flash-lite,health,O2,0.07555555555555556,-0.03783333333333333,0.18666666666666668,450
google__gemini-3.1-flash-lite,health,O3,0.09333333333333334,-0.024444444444444446,0.2111111111111111,450
google__gemini-3.1-flash-lite,health,O4,0.044444444444444446,-0.035555555555555556,0.12227777777777772,450
google__gemini-3.1-flash-lite,travel,S1,0.10888888888888888,0.008888888888888889,0.21333333333333335,450
google__gemini-3.1-flash-lite,travel,S2,-0.08888888888888889,-0.1622222222222222,-0.013333333333333334,450
google__gemini-3.1-flash-lite,travel,S3,-0.09555555555555556,-0.17783333333333334,-0.022166666666666716,450
google__gemini-3.1-flash-lite,travel,S4,0.022222222222222223,-0.04666666666666667,0.08888888888888889,450
google__gemini-3.1-flash-lite,travel,O1,0.0022222222222222222,-0.05333333333333334,0.06666666666666667,450
google__gemini-3.1-flash-lite,travel,O2,0.0044444444444444444,-0.06666666666666667,0.07111111111111111,450
google__gemini-3.1-flash-lite,travel,O3,0.015555555555555555,-0.04888888888888889,0.08666666666666667,450
google__gemini-3.1-flash-lite,travel,O4,-0.022222222222222223,-0.08666666666666667,0.026722222222222175,450
kimi__kimi-k2.5,academic_qa,S1,-0.08222222222222222,-0.1756111111111111,0.02,450
kimi__kimi-k2.5,academic_qa,S2,-0.17555555555555555,-0.27116666666666667,-0.08666666666666667,450
kimi__kimi-k2.5,academic_qa,S3,0.16444444444444445,0.07766666666666668,0.25555555555555554,450
kimi__kimi-k2.5,academic_qa,S4,-0.03333333333333333,-0.10450000000000001,0.044444444444444446,450
kimi__kimi-k2.5,academic_qa,O1,-0.10222222222222223,-0.19555555555555557,-0.024333333333333436,450
kimi__kimi-k2.5,academic_qa,O2,-0.10444444444444445,-0.2,-0.024444444444444446,450
kimi__kimi-k2.5,academic_qa,O3,-0.1,-0.1733888888888889,-0.03111111111111111,450
